PeakID (cmd=annotatePeaks.pl PPARg_exPPARg_RIPA_peaks.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr9-167	chr9	7501220	7501393	+	15.6	0.000	Intergenic	Intergenic	-1036	NM_019471	17384	Mm.14126	NM_019471	ENSMUSG00000047562	Mmp10	AV377895|MMP-10|SL-2	matrix metallopeptidase 10	protein-coding
chr18-53	chr18	76202965	76203138	+	15.6	0.000	Intergenic	Intergenic	32499	NR_105776	102465184		NR_105776	ENSMUSG00000098276	Mir6358	Gm27830|mmu-mir-6358	microRNA 6358	ncRNA
chr17-74	chr17	56669000	56669173	+	15.6	0.000	Intergenic	Intergenic	-4139	NM_027933	71810	Mm.29608	NM_027933	ENSMUSG00000002372	Ranbp3	2610024N24Rik|AA408221	RAN binding protein 3	protein-coding
chr10-148	chr10	26895460	26895633	+	15.6	0.000	intron (NM_176837, intron 12 of 14)	intron (NM_176837, intron 12 of 14)	123034	NM_176837	73910	Mm.356496	NM_176837	ENSMUSG00000039031	Arhgap18	4833419J07Rik|AI314906|AI843501	Rho GTPase activating protein 18	protein-coding
chr16-46	chr16	44995079	44995252	+	15.6	0.000	Intergenic	URR1A|DNA|hAT-Charlie	51487	NM_001128132	74603	Mm.297337	NM_027578	ENSMUSG00000036172	Cd200r3	4733401I18Rik|4833409J19Rik|AI505817|BB106877|mCD200RLb	CD200 receptor 3	protein-coding
chr14-87	chr14	10257223	10257396	+	15.6	0.000	intron (NM_010210, intron 4 of 8)	intron (NM_010210, intron 4 of 8)	373214	NR_030680	100042415	Mm.235938	NR_030680		Mnd1-ps	Gm3833	Mnd1 retrotransposed pseudogene	pseudo
chr3-130	chr3	135453710	135453883	+	15.6	0.000	intron (NM_025356, intron 2 of 7)	intron (NM_025356, intron 2 of 7)	15037	NM_025356	66105	Mm.49884	NM_025356	ENSMUSG00000078578	Ube2d3	1100001F19Rik|9430029A22Rik|AA414951	ubiquitin-conjugating enzyme E2D 3	protein-coding
chr8-70	chr8	34721484	34721657	+	15.6	0.000	Intergenic	Intergenic	-81254	NR_040706	330734	Mm.149998	NR_040706		B930018H19Rik	B930018H19	RIKEN cDNA B930018H19 gene	ncRNA
chr10-132	chr10	64425105	64425278	+	15.6	0.000	intron (NM_001164519, intron 5 of 12)	intron (NM_001164519, intron 5 of 12)	-334936	NM_178678	216028	Mm.431318	NM_178678	ENSMUSG00000042846	Lrrtm3	9630044H04Rik	leucine rich repeat transmembrane neuronal 3	protein-coding
chr16-74	chr16	36709811	36709984	+	15.6	0.000	intron (NM_001285791, intron 3 of 6)	intron (NM_001285791, intron 3 of 6)	15919	NM_001285788	106347	Mm.17807	NM_134109	ENSMUSG00000022900	Ildr1	AU041483|AU044638	immunoglobulin-like domain containing receptor 1	protein-coding
chr2-181	chr2	160272991	160273164	+	15.6	0.000	Intergenic	Intergenic	54417	NM_001033411	329554	Mm.291144	NM_001033411		Gm826	-	predicted gene 826	protein-coding
chr19-61	chr19	3971881	3972054	+	15.6	0.000	promoter-TSS (NM_001177438)	promoter-TSS (NM_001177438)	-361	NM_001177438	621603	Mm.34137	NM_001177438	ENSMUSG00000075296	Aldh3b2	AI848594|C130048D07Rik	aldehyde dehydrogenase 3 family, member B2	protein-coding
chr3-133	chr3	135722147	135722320	+	15.6	0.000	Intergenic	Intergenic	-30686	NM_008689	18033	Mm.256765	NM_008689	ENSMUSG00000028163	Nfkb1	NF-KB1|NF-kappaB|NF-kappaB1|p105|p50|p50/p105	nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105	protein-coding
chr8-110	chr8	61086872	61087045	+	15.6	0.000	intron (NM_175089, intron 21 of 32)	MER2|DNA|TcMar-Tigger	93765	NM_001293637	18004	Mm.486881	NM_175089	ENSMUSG00000031644	Nek1	D8Ertd790e|kat	NIMA (never in mitosis gene a)-related expressed kinase 1	protein-coding
chr2-175	chr2	34816100	34816273	+	15.6	0.000	intron (NM_001164768, intron 1 of 5)	RSINE1|SINE|B4	6995	NM_001164768	30050	Mm.4465	NM_013890	ENSMUSG00000035949	Fbxw2	2700071L08Rik|FBW2|Fwd2|MD6	F-box and WD-40 domain protein 2	protein-coding
chr9-88	chr9	88637034	88637207	+	15.6	0.000	Intergenic	Intergenic	-37877	NR_040766	320692	Mm.427378	NR_040766	ENSMUSG00000097073	9430037G07Rik	-	RIKEN cDNA 9430037G07 gene	ncRNA
chr10-118	chr10	62544321	62544494	+	15.6	0.000	Intergenic	Intergenic	34050	NM_028197	72320	Mm.258955	NM_028197	ENSMUSG00000036955	Kif1bp	0710007C18Rik|2510003E04Rik|KBP|mKIAA1279	KIF1 binding protein	protein-coding
chr3-66	chr3	127322945	127323118	+	15.6	0.000	Intergenic	Intergenic	161726	NR_105029	100862268	Mm.444603	NR_105029	ENSMUSG00000097456	LOC100862268	-	uncharacterized LOC100862268	ncRNA
chr16-83	chr16	24434009	24434182	+	15.6	0.000	intron (NM_178665, intron 1 of 12)	intron (NM_178665, intron 1 of 12)	-13996	NM_001145952	210126	Mm.209385	NM_178665	ENSMUSG00000033306	Lpp	9430020K16Rik|AA959454|AU024130|B130055L10Rik|C79715|D630048H16	LIM domain containing preferred translocation partner in lipoma	protein-coding
chr19-81	chr19	32197373	32197546	+	15.6	0.000	intron (NM_144792, intron 5 of 9)	LTR41|LTR|ERVL	13554	NM_001168526	208449	Mm.329810	NM_144792	ENSMUSG00000040451	Sgms1	9530058O11Rik|AI841905|C80702|Mob|Sms1|Sor1|Tmem23	sphingomyelin synthase 1	protein-coding
chr10-154	chr10	107964281	107964454	+	15.6	0.000	Intergenic	Intergenic	-52233	NM_001177567	628870	Mm.336090	NM_001177567	ENSMUSG00000091455	Otogl	EG628870|Gm6924	otogelin-like	protein-coding
chr17-96	chr17	88459801	88459974	+	15.6	0.000	intron (NM_180974, intron 1 of 5)	intron (NM_180974, intron 1 of 5)	19175	NM_180974	14236	Mm.112824	NM_180974	ENSMUSG00000034998	Foxn2	3230402J05Rik|6030465J18Rik|Fkh19|Foxn1|HTLF	forkhead box N2	protein-coding
chr9-111	chr9	62222775	62222948	+	15.6	0.000	Intergenic	Intergenic	21239	NR_040769	330958	Mm.411888	NR_040769		A730043L09Rik	A730043L09	RIKEN cDNA A730043L09 gene	ncRNA
chr19-19	chr19	4673759	4673932	+	15.6	0.000	intron (NM_001033447, intron 3 of 14)	intron (NM_001033447, intron 3 of 14)	24823	NM_001033447	381196	Mm.297789	NM_001033447	ENSMUSG00000071691	Gm960	-	predicted gene 960	protein-coding
chr14-94	chr14	73473565	73473738	+	15.6	0.000	Intergenic	B4A|SINE|B4	-36398	NM_026119	67381	Mm.282888	NM_026119	ENSMUSG00000022109	Med4	2410046H15Rik|DRIP36|HSPC126|TRAP36|Vdirp|Vdrip	mediator complex subunit 4	protein-coding
chr16-131	chr16	91071763	91071936	+	15.6	0.000	Intergenic	MTEb|LTR|ERVL-MaLR	-2704	NM_001163695	74387	Mm.236220	NM_028905	ENSMUSG00000039851	4932438H23Rik	4931406G06Rik|AI550392	RIKEN cDNA 4932438H23 gene	protein-coding
chr17-110	chr17	50511587	50511760	+	15.6	0.000	intron (NM_013880, intron 1 of 5)	intron (NM_013880, intron 1 of 5)	2126	NM_013880	224860	Mm.217362	NM_013880	ENSMUSG00000038910	Plcl2	PLC-L2|PRIP-2|Plce2|mKIAA1092	phospholipase C-like 2	protein-coding
chr8-97	chr8	13251687	13251860	+	15.6	0.000	intron (NM_172750, intron 1 of 6)	intron (NM_172750, intron 1 of 6)	2389	NM_172750	234072	Mm.132785	NM_172750	ENSMUSG00000031448	Adprhl1	Arh2|D330008N11Rik	ADP-ribosylhydrolase like 1	protein-coding
chr1-188	chr1	144256923	144257096	+	15.6	0.000	Intergenic	Intergenic	-7905	NM_015811	50778	Mm.103701	NM_015811		Rgs1	BL34	regulator of G-protein signaling 1	protein-coding
chr5-76	chr5	64297201	64297374	+	15.6	0.000	intron (NM_019636, intron 12 of 19)	L1MB2|LINE|L1	66930	NM_001289514	57915	Mm.286353	NM_019636	ENSMUSG00000029174	Tbc1d1	1110062G02Rik|AI385682|AW555803|Nob1|Nobq1|Tbc1|mKIAA1108	TBC1 domain family, member 1	protein-coding
chr4-109	chr4	126102660	126102833	+	15.6	0.000	Intergenic	Intergenic	-1211	NM_028800	74178	Mm.440269	NM_028800	ENSMUSG00000042608	Stk40	2310004N11Rik|AI428792	serine/threonine kinase 40	protein-coding
chr13-76	chr13	21168151	21168324	+	15.6	0.000	Intergenic	Intergenic	-11694	NM_009054	19720	Mm.314056	NM_009054	ENSMUSG00000021326	Trim27	AW538890|Gm19403|Rfp	tripartite motif-containing 27	protein-coding
chr8-96	chr8	25614872	25615045	+	15.6	0.000	intron (NM_001001735, intron 1 of 9)	intron (NM_001001735, intron 1 of 9)	12652	NM_001001735	234135	Mm.217337	NM_001001735	ENSMUSG00000054823	Whsc1l1	6720429E03|A530023P05|AI528490|NSD3|WHISTLE	Wolf-Hirschhorn syndrome candidate 1-like 1 (human)	protein-coding
chr18-30	chr18	31911425	31911598	+	15.6	0.000	5' UTR (NM_026006, exon 1 of 1)	5' UTR (NM_026006, exon 1 of 1)	392	NM_026006	67158	Mm.31537	NM_026006	ENSMUSG00000044982	Sft2d3	2610206C24Rik|AI847965|AW046173	SFT2 domain containing 3	protein-coding
chr16-121	chr16	90187438	90187611	+	15.6	0.000	Intergenic	Intergenic	-33218	NM_011434	20655	Mm.276325	NM_011434	ENSMUSG00000022982	Sod1	B430204E11Rik|Cu/Zn-SOD|CuZnSOD|Ipo-1|Ipo1|SODC|Sod-1	superoxide dismutase 1, soluble	protein-coding
chr2-245	chr2	130756622	130756795	+	15.6	0.000	intron (NM_029432, intron 20 of 36)	intron (NM_029432, intron 20 of 36)	47393	NR_024097	100043766	Mm.447040	NR_024097		Gm14057	OTTMUSG00000015563	Ppp1r14c pseudogene	pseudo
chr2-129	chr2	35459753	35459926	+	15.6	0.000	intron (NM_010283, intron 1 of 8)	intron (NM_010283, intron 1 of 8)	1586	NM_001145821	14594	Mm.281124	NM_010283	ENSMUSG00000035778	Ggta1	AW108479|GALT|Gal|Ggta|Ggta-1|alpha Gal|alpha3GalT	glycoprotein galactosyltransferase alpha 1, 3	protein-coding
chr13-157	chr13	45682555	45682728	+	15.6	0.000	intron (NM_001199304, intron 5 of 6)	intron (NM_001199304, intron 5 of 6)	175172	NM_025508	66355	Mm.290802	NM_025508	ENSMUSG00000000253	Gmpr	2310004P21Rik|AV028449|GMPR 1	guanosine monophosphate reductase	protein-coding
chr8-59	chr8	94413851	94414024	+	15.6	0.000	Intergenic	Intergenic	21166	NR_015514	320377	Mm.486022	NR_015514	ENSMUSG00000097194	9330175E14Rik	A630085K21	RIKEN cDNA 9330175E14 gene	ncRNA
chr4-139	chr4	86670991	86671164	+	15.6	0.000	Intergenic	Intergenic	-1018	NM_007408	11520	Mm.381	NM_007408	ENSMUSG00000028494	Plin2	AA407157|ADPH|Adfp|Adrp	perilipin 2	protein-coding
chr19-43	chr19	53536120	53536293	+	15.6	0.000	intron (NM_001085390, intron 2 of 3)	intron (NM_001085390, intron 2 of 3)	6888	NM_001085390	240672	Mm.482424	NM_001085390		Dusp5	Gm337	dual specificity phosphatase 5	protein-coding
chr3-107	chr3	141748792	141748965	+	15.6	0.000	intron (NM_009472, intron 4 of 15)	intron (NM_009472, intron 4 of 15)	182710	NM_001277220	12167	Mm.39089	NM_007560	ENSMUSG00000052430	Bmpr1b	AI385617|ALK-6|AV355320|Acvrlk6|Alk6|BMPR-1B|BMPR-IB|CFK-43a|SKR6	bone morphogenetic protein receptor, type 1B	protein-coding
chr2-201	chr2	10373410	10373583	+	15.6	0.000	intron (NM_177386, intron 1 of 22)	intron (NM_177386, intron 1 of 22)	1060	NM_001198809	353282	Mm.329991	NM_177386	ENSMUSG00000061186	Sfmbt2	D2Wsu23e|D330030P06Rik	Scm-like with four mbt domains 2	protein-coding
chr6-48	chr6	41770008	41770181	+	15.6	0.000	Intergenic	L1M4b|LINE|L1	2203	NM_146576	258569	Mm.377571	NM_146576	ENSMUSG00000045479	Olfr459	MOR120-1	olfactory receptor 459	protein-coding
chr5-47	chr5	53385620	53385793	+	15.6	0.000	Intergenic	Intergenic	118600	NM_001145433	66278	Mm.27900	NM_001145433	ENSMUSG00000061461	Smim20	1110067B18Rik|1810013D10Rik|N28078	small integral membrane protein 20	protein-coding
chr11-129	chr11	103016242	103016415	+	15.6	0.000	intron (NM_026551, intron 1 of 4)	intron (NM_026551, intron 1 of 4)	819	NM_026551	68087	Mm.277449	NM_026551	ENSMUSG00000020935	Dcakd	3010024O21Rik|6720485C15Rik|AI849483	dephospho-CoA kinase domain containing	protein-coding
chr3-95	chr3	59222464	59222637	+	15.6	0.000	intron (NM_027571, intron 2 of 3)	intron (NM_027571, intron 2 of 3)	-11668	NM_028808	74191	Mm.90067	NM_028808	ENSMUSG00000036362	P2ry13	2010001L06Rik|GPCR1|GPR94|Gpr86|P2Y13|P2yr13|SP174	purinergic receptor P2Y, G-protein coupled 13	protein-coding
chr7-176	chr7	126152182	126152355	+	15.6	0.000	intron (NM_028816, intron 7 of 23)	intron (NM_028816, intron 7 of 23)	48140	NM_028816	74204	Mm.235663	NM_028816	ENSMUSG00000000131	Xpo6	2610005L19Rik|AL022631|C230091E20Rik|R75304|Ranbp20|mKIAA0370	exportin 6	protein-coding
chr4-61	chr4	59295245	59295418	+	15.6	0.000	Intergenic	Intergenic	35280	NR_105031	101055769	Mm.421401	NR_105031		Gm12596	OTTMUSG00000007649	predicted gene 12596	ncRNA
chr13-132	chr13	81658534	81658707	+	15.6	0.000	intron (NM_030257, intron 1 of 2)	intron (NM_030257, intron 1 of 2)	814	NM_030257	80289	Mm.259969	NM_030257	ENSMUSG00000035840	Lysmd3	1110030H10Rik|BC003322	LysM, putative peptidoglycan-binding, domain containing 3	protein-coding
chr2-100	chr2	152437216	152437389	+	15.6	0.000	intron (NR_110368, intron 5 of 10)	intron (NR_110368, intron 5 of 10)	21715	NR_110367	228778	Mm.70959	NM_177656	ENSMUSG00000032680	6820408C15Rik	-	RIKEN cDNA 6820408C15 gene	protein-coding
chr4-146	chr4	151987047	151987220	+	15.6	0.000	intron (NM_001145929, intron 1 of 2)	intron (NM_001145929, intron 1 of 2)	1853	NM_175152	69876	Mm.226820	NM_175152	ENSMUSG00000039759	Thap3	2010013E08Rik|2210418H06Rik	THAP domain containing, apoptosis associated protein 3	protein-coding
chr8-75	chr8	35586892	35587065	+	15.6	0.000	promoter-TSS (NM_001081279)	promoter-TSS (NM_001081279)	-820	NM_001081279	52065	Mm.103246	NM_001081279	ENSMUSG00000070056	Mfhas1	2310066G09Rik|D8Ertd91e	malignant fibrous histiocytoma amplified sequence 1	protein-coding
chr1-170	chr1	183750336	183750509	+	15.6	0.000	Intergenic	Intergenic	283576	NM_028516	73363	Mm.50115	NM_028516	ENSMUSG00000044854	1700056E22Rik	-	RIKEN cDNA 1700056E22 gene	protein-coding
chr3-151	chr3	138865571	138865744	+	15.6	0.000	intron (NR_121195, intron 1 of 7)	intron (NR_121195, intron 1 of 7)	123449	NR_121195	56224	Mm.31927	NM_019571	ENSMUSG00000028152	Tspan5	2810455A09Rik|4930505M03Rik|NET-4|Tm4sf9	tetraspanin 5	protein-coding
chr11-140	chr11	86578645	86578818	+	15.6	0.000	Intergenic	PB1D9|SINE|Alu	5427	NR_029738	387140		NR_029738	ENSMUSG00000065455	Mir21a	Mir21|Mirn21|mmu-mir-21|mmu-mir-21a	microRNA 21a	ncRNA
chr12-68	chr12	100838862	100839035	+	15.6	0.000	intron (NM_145448, intron 4 of 12)	intron (NM_145448, intron 4 of 12)	59825	NM_145448	217830	Mm.218590	NM_145448	ENSMUSG00000021185	9030617O03Rik	-	RIKEN cDNA 9030617O03 gene	protein-coding
chr9-154	chr9	53567670	53567843	+	15.6	0.000	intron (NM_001081152, intron 15 of 17)	RMER15|LTR|ERVL	30709	NM_001081152	244879	Mm.116713	NM_001081152	ENSMUSG00000033054	Npat	6820401K01|AI427561|BB112559	nuclear protein in the AT region	protein-coding
chr4-161	chr4	114308562	114308735	+	15.6	0.000	Intergenic	Intergenic	-98076	NM_001085549	666048	Mm.331779	NM_001085549	ENSMUSG00000070867	Trabd2b	Gm12824|Hkat|OTTMUSG00000008561	TraB domain containing 2B	protein-coding
chr8-67	chr8	81399123	81399296	+	15.6	0.000	intron (NM_001297596, intron 1 of 24)	intron (NM_001297596, intron 1 of 24)	56647	NM_001297593	234515	Mm.324468	NM_001024617	ENSMUSG00000037940	Inpp4b	E130107I17Rik	inositol polyphosphate-4-phosphatase, type II	protein-coding
chr4-71	chr4	11608002	11608175	+	15.6	0.000	intron (NM_001039556, intron 10 of 14)	intron (NM_001039556, intron 10 of 14)	28426	NM_001256142	100503583	Mm.249437	NM_001256142	ENSMUSG00000094595	Fsbp	-	fibrinogen silencer binding protein	protein-coding
chr8-124	chr8	41381836	41382009	+	15.6	0.000	Intergenic	RLTR13C3|LTR|ERVK	-7225	NM_019734	11886	Mm.22547	NM_019734	ENSMUSG00000031591	Asah1	2310081N20Rik|AC|Asah	N-acylsphingosine amidohydrolase 1	protein-coding
chr7-148	chr7	16057477	16057650	+	15.6	0.000	Intergenic	Intergenic	-14379	NM_001099277	666528	Mm.290718	NM_001099277	ENSMUSG00000078796	Zfp541	EG666528|Znf541	zinc finger protein 541	protein-coding
chr11-253	chr11	44150972	44151145	+	15.6	0.000	Intergenic	Intergenic	-249005	NM_008352	16160	Mm.239707	NM_008352		Il12b	Il-12b|Il-12p40|Il12p40|p40	interleukin 12b	protein-coding
chr10-69	chr10	128424884	128425057	+	15.6	0.000	intron (NR_104288, intron 2 of 6)	RLTR11C_MM|LTR|ERVK	13354	NM_001164237	67588	Mm.294120	NM_026259	ENSMUSG00000025373	Rnf41	2210404G21Rik|4930511A05Rik|4933415P08Rik|D10Ertd722e|FLRF|Nrdp1	ring finger protein 41	protein-coding
chr5-74	chr5	62763933	62764106	+	15.6	0.000	intron (NM_178407, intron 1 of 32)	RSINE1|SINE|B4	2158	NM_178407	212285	Mm.244403	NM_178407	ENSMUSG00000037999	Arap2	Centd1|Gm148|mKIAA0580	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2	protein-coding
chr4-137	chr4	145428972	145429145	+	15.6	0.000	Intergenic	Intergenic	-35152	NR_002888	545700	Mm.389595	NR_002888	ENSMUSG00000052912	Smarca5-ps	9230115A19Rik|OTTMUSG00000011029	SWI/SNF related, matrix associated, actin depenent ragulator of chromatin, subfamily a, member 5, pseudogene	pseudo
chr8-83	chr8	110981120	110981293	+	15.6	0.000	intron (NM_007916, intron 5 of 11)	B1_Mur2|SINE|Alu	16617	NM_007916	13680	Mm.287901	NM_007916	ENSMUSG00000015023	Ddx19a	DBP5|Ddx19|Eif4a-rs1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 19a	protein-coding
chr4-84	chr4	43973007	43973180	+	15.6	0.000	intron (NM_027450, intron 4 of 4)	intron (NM_027450, intron 4 of 4)	-10411	NM_001002787	442829	Mm.348215	NM_001002787	ENSMUSG00000070999	Ccin	4933417A14Rik	calicin	protein-coding
chr10-62	chr10	68020539	68020712	+	15.6	0.000	intron (NM_001081346, intron 8 of 12)	B2_Mm1t|SINE|B2	41027	NM_001081346	170799	Mm.209844	NM_133244	ENSMUSG00000037846	Rtkn2	B130039D23Rik|Mbf|Plekhk1	rhotekin 2	protein-coding
chr9-162	chr9	109807165	109807338	+	15.6	0.000	Intergenic	Intergenic	-9376	NM_183136	78709	Mm.99613	NM_183136	ENSMUSG00000050074	Spink8	C630041L24Rik	serine peptidase inhibitor, Kazal type 8	protein-coding
chr8-60	chr8	115618354	115618527	+	15.6	0.000	Intergenic	Intergenic	88454	NM_001025577	17132	Mm.275549	NM_001025577		Maf	2810401A20Rik|A230108G15Rik|AW047063|c-maf	avian musculoaponeurotic fibrosarcoma (v-maf) AS42 oncogene homolog	protein-coding
chr4-154	chr4	88003182	88003355	+	15.6	0.000	intron (NM_027326, intron 2 of 10)	intron (NM_027326, intron 2 of 10)	30139	NM_027326	70122	Mm.288898	NM_027326	ENSMUSG00000028496	Mllt3	2210011H10Rik|2610012I03Rik|3830408D16Rik|Af9|D4Ertd321e	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3	protein-coding
chr11-110	chr11	55134604	55134777	+	15.6	0.000	intron (NM_172258, intron 7 of 10)	B4A|SINE|B4	17016	NM_172258	215332	Mm.87054	NM_172258	ENSMUSG00000049491	Slc36a3	PAT3|TRAMD2|tramdorin2	solute carrier family 36 (proton/amino acid symporter), member 3	protein-coding
chr6-165	chr6	39573677	39573850	+	15.6	0.000	promoter-TSS (NM_178873)	promoter-TSS (NM_178873)	-113	NM_178873	57869	Mm.247957	NM_178873	ENSMUSG00000046947	Adck2	AA408112|BB006057	aarF domain containing kinase 2	protein-coding
chr17-60	chr17	26605399	26605572	+	15.6	0.000	intron (NM_026170, intron 1 of 9)	intron (NM_026170, intron 1 of 9)	43973	NM_026170	67458	Mm.30496	NM_026170	ENSMUSG00000001576	Ergic1	1200007D18Rik|maa-136	endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1	protein-coding
chr5-97	chr5	34129806	34129979	+	15.6	0.000	intron (NM_181857, intron 3 of 24)	intron (NM_181857, intron 3 of 24)	11152	NR_040703	75357	Mm.410806	NR_040703	ENSMUSG00000106902	4930557J02Rik	-	RIKEN cDNA 4930557J02 gene	ncRNA
chr4-89	chr4	115732336	115732509	+	14.7	0.000	Intergenic	Intergenic	-5651	NM_172698	230648	Mm.283565	NM_172698	ENSMUSG00000034210	Efcab14	4732418C07Rik	EF-hand calcium binding domain 14	protein-coding
chr6-132	chr6	65594307	65594480	+	14.7	0.000	intron (NM_001001495, intron 2 of 7)	intron (NM_001001495, intron 2 of 7)	3995	NM_001001495	414084	Mm.117558	NM_001001495	ENSMUSG00000044162	Tnip3	9030611K07Rik|ABIN-3|LIND	TNFAIP3 interacting protein 3	protein-coding
chr11-102	chr11	29800073	29800246	+	14.7	0.000	intron (NM_146016, intron 21 of 41)	RodERV21-int|LTR|ERV1	25509	NM_176829	216622	Mm.443260	NM_176829	ENSMUSG00000078157	4931440F15Rik	Fem1ab	RIKEN cDNA 4931440F15 gene	protein-coding
chr2-228	chr2	170057865	170058038	+	14.7	0.000	Intergenic	Intergenic	12720	NR_033634	100043910	Mm.468546	NR_033632	ENSMUSG00000097065	A630075F10Rik	4831414D02|Gm4722	RIKEN cDNA A630075F10 gene	ncRNA
chr6-121	chr6	129507220	129507393	+	14.7	0.000	promoter-TSS (NM_001301096)	promoter-TSS (NM_001301096)	-141	NM_138648	108078	Mm.293626	NM_138648	ENSMUSG00000030162	Olr1	LOX-1|SR-EI|Scare1	oxidized low density lipoprotein (lectin-like) receptor 1	protein-coding
chr13-66	chr13	16753808	16753981	+	14.7	0.000	Intergenic	Intergenic	739419	NM_008380	16323	Mm.8042	NM_008380	ENSMUSG00000041324	Inhba	-	inhibin beta-A	protein-coding
chr4-95	chr4	48267895	48268068	+	14.7	0.000	intron (NM_029572, intron 1 of 11)	ORR1D1|LTR|ERVL-MaLR	11608	NM_029572	76299	Mm.317701	NM_029572	ENSMUSG00000028343	Erp44	1110001E24Rik|AI849526|AL033348|Txndc4	endoplasmic reticulum protein 44	protein-coding
chr18-45	chr18	78624350	78624523	+	14.7	0.000	Intergenic	L1ME4b|LINE|L1	-27486	NM_207651	27411	Mm.44158	NM_030683	ENSMUSG00000024552	Slc14a2	UT-A1|UT-A3	solute carrier family 14 (urea transporter), member 2	protein-coding
chr10-140	chr10	102886791	102886964	+	14.7	0.000	Intergenic	MIRb|SINE|MIR	141900	NM_172553	216285	Mm.19287	NM_172553	ENSMUSG00000036602	Alx1	AI314867|C130005I02|Cart1	ALX homeobox 1	protein-coding
chrX-25	chrX	152280798	152280971	+	14.7	0.000	Intergenic	B1_Mur1|SINE|Alu	46609	NR_040269	72997	Mm.254833	NR_040269		Kantr	2810454L23Rik|2900056M20Rik|Spasm	Kdm5c adjacent non-coding transcript	ncRNA
chr9-126	chr9	78594419	78594592	+	14.7	0.000	Intergenic	Intergenic	-6460	NM_001276452	235504	Mm.46932	NM_172773	ENSMUSG00000049624	Slc17a5	4631416G20Rik|4732491M05|AST|ISSD|NSD|SD|SIALIN|SIASD|SLD	solute carrier family 17 (anion/sugar transporter), member 5	protein-coding
chr10-126	chr10	95998445	95998618	+	14.7	0.000	intron (NM_001001932, intron 9 of 28)	intron (NM_001001932, intron 9 of 28)	57868	NM_001001932	216238	Mm.210035	NM_001001932	ENSMUSG00000036499	Eea1	A430109M19Rik|B230358H09Rik|ZFYVE2	early endosome antigen 1	protein-coding
chr18-43	chr18	56921130	56921303	+	14.7	0.000	intron (NM_177115, intron 1 of 4)	intron (NM_177115, intron 1 of 4)	4332	NM_177115	320253	Mm.312623	NM_177115	ENSMUSG00000032656	March3	6330411I15Rik|A530081L18Rik|AI843639|MARCH-III	membrane-associated ring finger (C3HC4) 3	protein-coding
chr6-187	chr6	79386895	79387068	+	14.7	0.000	Intergenic	RMER5|LTR|ERV1	354939	NR_040302	100504701	Mm.400420	NR_040301	ENSMUSG00000108072	Gm20362	-	predicted gene, 20362	ncRNA
chr17-83	chr17	63494646	63494819	+	14.7	0.000	intron (NM_015794, intron 1 of 8)	intron (NM_015794, intron 1 of 8)	5848	NM_015794	50758	Mm.136366	NM_015794		Fbxl17	6330576B01Rik|AI452053|BB073797|C130023C01Rik|Fbx13|Fbxo13	F-box and leucine-rich repeat protein 17	protein-coding
chr3-127	chr3	92618578	92618751	+	14.7	0.000	Intergenic	Intergenic	2996	NM_001166172	78382	Mm.235474	NM_001166172	ENSMUSG00000086848	Lce6a	2210420J11Rik	late cornified envelope 6A	protein-coding
chr3-118	chr3	51913891	51914064	+	14.7	0.000	intron (NM_001004176, intron 1 of 4)	intron (NM_001004176, intron 1 of 4)	191029	NM_001004176	433586	Mm.234972	NM_001004176	ENSMUSG00000061143	Maml3	AV234550|BC049812|Mam-2|mKIAA1816	mastermind like 3 (Drosophila)	protein-coding
chr8-115	chr8	39020611	39020784	+	14.7	0.000	intron (NM_030254, intron 1 of 7)	ORR1E|LTR|ERVL-MaLR	14830	NM_030254	80286	Mm.272722	NM_030254		Tusc3	AU022242|BC003311|N33	tumor suppressor candidate 3	protein-coding
chr9-104	chr9	92230009	92230182	+	14.7	0.000	Intergenic	Intergenic	-20099	NM_011636	22038	Mm.421956	NM_011636	ENSMUSG00000032369	Plscr1	MmTRA1a|MmTRA1b|Nor1|Tra1|Tra1a|Tra1b|Tras1|Tras2	phospholipid scramblase 1	protein-coding
chr18-32	chr18	51933948	51934121	+	14.7	0.000	Intergenic	(T)n|Simple_repeat|Simple_repeat	189512	NR_029788	723830		NR_029788	ENSMUSG00000065494	Mir28a	Mir28|Mirn28|mmu-mir-28|mmu-mir-28a	microRNA 28a	ncRNA
chr11-171	chr11	99200321	99200494	+	14.7	0.000	Intergenic	Intergenic	30610	NM_020618	57376	Mm.379086	NM_020618	ENSMUSG00000037935	Smarce1	2810417B20Rik|5830412H02Rik|9030408N19Rik|Baf27	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	protein-coding
chr12-116	chr12	54293324	54293497	+	14.7	0.000	Intergenic	Intergenic	59795	NR_108033	73592	Mm.416874	NR_108033		1700104L18Rik	-	RIKEN cDNA 1700104L18 gene	ncRNA
